DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/01/1971,4.14,0.053,1135.156,95.879997,0.059,0.34503,180555,2.4058,358.02,98.699997
01/02/1971,3.72,0.05,1135.156,96.75,0.059,0.34503,180555,2.4178,357.545,95.580002
01/03/1971,3.71,0.047,1135.156,100.309998,0.06,0.34503,180555,2.4187,357.5187,99.029999
01/04/1971,4.15,0.042,1156.271,103.949997,0.059,0.34361,184497,2.4179,357.5032,98.339996
01/05/1971,4.63,0.044,1156.271,99.629997,0.059,0.34361,184497,2.4187,357.413,94.230003
01/06/1971,4.91,0.046,1156.271,98.699997,0.059,0.34361,184497,2.4188,357.4118,93.989998
01/07/1971,5.31,0.044,1177.675,95.580002,0.06,0.35007,188691,2.4185,357.4043,102.089996
01/08/1971,5.56,0.046,1177.675,99.029999,0.061,0.35007,188691,2.4346,355.78,103.940002
01/09/1971,5.55,0.041,1177.675,98.339996,0.06,0.35007,188691,2.4694,338.021,106.57
01/10/1971,5.2,0.038,1190.297,94.230003,0.058,0.35632,191896,2.4896,331.1105,107.199997
01/11/1971,4.91,0.033,1190.297,93.989998,0.06,0.35632,191896,2.4933,328.752,107.669998
01/12/1971,4.14,0.033,1190.297,102.089996,0.06,0.35632,191896,2.5266,320.0727,109.529999
01/01/1972,3.5,0.033,1230.609,103.940002,0.058,0.34726,196002,2.5705,312.72,107.139999
01/02/1972,3.29,0.035,1230.609,106.57,0.057,0.34726,196002,2.6037,305.187,107.389999
01/03/1972,3.83,0.035,1230.609,107.199997,0.058,0.34726,196002,2.6181,302.5365,111.089996
01/04/1972,4.17,0.035,1266.369,107.669998,0.057,0.33674,200569,2.6102,303.5605,110.550003
01/05/1972,4.27,0.032,1266.369,109.529999,0.057,0.33674,200569,2.6124,304.3795,111.580002
01/06/1972,4.46,0.027,1266.369,107.139999,0.057,0.33674,200569,2.5691,302.4145,116.669998
01/07/1972,4.55,0.029,1290.566,107.389999,0.056,0.33624,203414,2.4447,301.0305,118.050003
01/08/1972,4.8,0.029,1290.566,111.089996,0.056,0.33624,203414,2.4502,301.1609,116.029999
01/09/1972,4.87,0.032,1290.566,110.550003,0.055,0.33624,203414,2.441,301.119,111.68
01/10/1972,5.04,0.034,1328.904,111.580002,0.056,0.33748,205352,2.3948,301.011,111.519997
01/11/1972,5.06,0.037,1328.904,116.669998,0.053,0.33748,205352,2.3515,300.9885,106.970001
01/12/1972,5.33,0.034,1328.904,118.050003,0.052,0.33748,205352,2.3449,301.2405,104.949997
